titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
,Verónica Cervilla,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/cuando-callan-las-montanas/,Drama,2026-09-15
,Martín Casariego,"Drama, Novela",,,https://ww3.lectulandia.co/book/como-los-pajaros-aman-el-aire/,Drama,2026-09-15
,Màrius Serra,"Drama, Novela",,,https://ww3.lectulandia.co/book/el-mal-entendido/,Drama,2026-09-15
,Nicholas Monsarrat,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-doncella-de-oro/,Drama,2026-09-15
,Florence Knapp,"Drama, Novela",,,https://ww3.lectulandia.co/book/los-nombres-florence-knapp/,Drama,2026-09-15
,Clara Fuertes,"Drama, Histórico, Novela, Realista",,,https://ww3.lectulandia.co/book/mi-querida-irene/,Drama,2026-09-15
,András László,"Drama, Novela",,,https://ww3.lectulandia.co/book/donde-los-vientos-duermen/,Drama,2026-09-15
,Eduardo Verdú,"Drama, Intriga, Novela",,,https://ww3.lectulandia.co/book/la-nieve-invisible/,Drama,2026-09-15
,David Storey,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/el-ingenuo-salvaje/,Drama,2026-09-15
,Maeve Binchy,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/el-lago-de-cristal/,Drama,2026-09-15
,León Tolstói,"Drama, Novela",,,https://ww3.lectulandia.co/book/la-muerte-de-ivan-ilich-trad-j-fernandez-valdes/,Drama,2026-09-15
,Jesús Moncada,"Drama, Novela",,,https://ww3.lectulandia.co/book/memoria-estremecida/,Drama,2026-09-15
,Anne Hébert,"Drama, Novela",,,https://ww3.lectulandia.co/book/kamuraska/,Drama,2026-09-15
,Alexandra Black,"Drama, Histórico, Novela, Romántico",,,https://ww3.lectulandia.co/book/una-novia-dada-por-muerta/,Drama,2026-09-15
,Ivan Sergueevich Turguenev,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/primer-amor-trad-natalia-dvorkina/,Drama,2026-09-15
,Máximo Huerta,"Drama, Novela, Realista",,,https://ww3.lectulandia.co/book/mama-esta-dormida/,Drama,2026-09-15
,Fiódor Mijáilovich Dostoyevski,"Drama, Novela, Psicológico, Realista",Círculo del Crimen,,https://ww3.lectulandia.co/book/crimen-y-castigo-ii/,Drama,2026-09-15
,Elena Montagud,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/los-recuerdos-que-fuimos/,Drama,2026-09-15
,Mayte Uceda,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/los-amores-paralelos/,Drama,2026-09-15
,Fiódor Mijáilovich Dostoyevski,"Drama, Novela, Psicológico, Realista",Círculo del Crimen,,https://ww3.lectulandia.co/book/crimen-y-castigo-i/,Drama,2026-09-15
,Víctor Hugo,"Drama, Novela, Romántico",,,https://ww3.lectulandia.co/book/han-de-islandia/,Drama,2026-09-15
,Henry James,"Drama, Novela",,,https://ww3.lectulandia.co/book/diario-de-un-hombre-de-cincuenta-anos/,Drama,2026-09-15
,Dorothy Whipple,"Drama, Novela",,,https://ww3.lectulandia.co/book/eran-hermanas/,Drama,2026-09-15
,Julio Ramón Ribeyro,"Drama, Juvenil, Novela, Realista, Romántico",,,https://ww3.lectulandia.co/book/cronica-de-san-gabriel/,Drama,2026-09-15
,Mónica Lavín,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/yo-la-peor-la-historia-de-la-mujer-que-quebranto-las-letras-de-una-epoca/,Drama,2026-09-15
,Arturo Uslar Pietri,"Drama, Otros, Realista, Relato",,,https://ww3.lectulandia.co/book/treinta-hombres-y-sus-sombras/,Drama,2026-09-15
,Banana Yoshimoto,"Drama, Relato",,,https://ww3.lectulandia.co/book/primer-amor-high-dry/,Drama,2026-09-15
,Vicki Baum,"Drama, Histórico, Novela",,,https://ww3.lectulandia.co/book/amor-y-muerte-en-bali/,Drama,2026-09-15
